NPDES.Permit.Number,WWTF,month,year,MonthlyAverageFlowmgd,TN_lbday,TN_lbmonth,TN_mgL,Data_Source
NH0100871,Exeter,1,2013,1.71,345,10700,24.2,2016 Town of Exeter TN Report 
NH0100871,Exeter,2,2013,1.67,324,9082,23.3,2016 Town of Exeter TN Report 
NH0100871,Exeter,3,2013,2.56,449,13913,21.0,2016 Town of Exeter TN Report 
NH0100871,Exeter,4,2013,1.95,278,8681,18.5,2016 Town of Exeter TN Report 
NH0100871,Exeter,5,2013,1.63,286,9029,21.8,2016 Town of Exeter TN Report 
NH0100871,Exeter,6,2013,2.17,415,12500,23.1,2016 Town of Exeter TN Report 
NH0100871,Exeter,7,2013,1.75,347,10852,24.2,2016 Town of Exeter TN Report 
NH0100871,Exeter,8,2013,1.29,226,7165,21.9,2016 Town of Exeter TN Report 
NH0100871,Exeter,9,2013,1.53,131,3971,10.5,2016 Town of Exeter TN Report 
NH0100871,Exeter,10,2013,1.22,164,5203,16.9,2016 Town of Exeter TN Report 
NH0100871,Exeter,11,2013,1.25,313,8611,25.0,2016 Town of Exeter TN Report 
NH0100871,Exeter,12,2013,1.45,342,11270,31.8,2016 Town of Exeter TN Report 
NH0100871,Exeter,1,2012,1.92,253,8457,23.5,2014 Town of Exter TN Report 
NH0100871,Exeter,2,2012,1.69,266,7830,24.5,2014 Town of Exter TN Report 
NH0100871,Exeter,3,2012,1.91,283,9303,21.0,2014 Town of Exter TN Report 
NH0100871,Exeter,4,2012,1.56,270,8151,9.8,2014 Town of Exter TN Report 
NH0100871,Exeter,5,2012,1.84,374,11590,15.3,2014 Town of Exter TN Report 
NH0100871,Exeter,6,2012,1.94,245,7633,20.5,2014 Town of Exter TN Report 
NH0100871,Exeter,7,2012,1.27,154,4338,19.1,2014 Town of Exter TN Report 
NH0100871,Exeter,8,2012,1.3,63,2235,25.0,2014 Town of Exter TN Report 
NH0100871,Exeter,9,2012,1.26,65,2312,16.3,2014 Town of Exter TN Report 
NH0100871,Exeter,10,2012,1.45,202,6349,18.5,2014 Town of Exter TN Report 
NH0100871,Exeter,11,2012,1.38,192,6222,30.3,2014 Town of Exter TN Report 
NH0100871,Exeter,12,2012,1.75,355,11745,26.4,2014 Town of Exter TN Report 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
